sample,treatment,replicate,rack,shoot_mass,root_mass
141-1-r4,141,1,4,403.35,208.79
141-2-r4,141,2,4,332.89,140.78
141-3-r4,141,3,4,362.89,190.11
141-4-r4,141,4,4,340.2,147.96
141-5-r4,141,5,4,536.88,241.88
141-6-r12,141,6,12,181.04,63.73
141-7-r12,141,7,12,106.78,46.22
141-8-r12,141,8,12,319.8,129.48
141-9-r12,141,9,12,301.79,128.23
141-10-r12,141,10,12,241.46,99.63
141-11-r16,141,11,16,240.23,107.67
141-12-r16,141,12,16,279.86,106.29
141-13-r16,141,13,16,NA,NA
141-14-r16,141,14,16,177.24,74.49
141-15-r16,141,15,16,144.37,51.36
141-16-r19,141,16,19,139.54,86.47
141-17-r19,141,17,19,288.88,102.18
141-18-r19,141,18,19,185.8,84.68
141-19-r19,141,19,19,223.07,92.66
141-20-r19,141,20,19,234.15,75.6
522-1-r11,522,1,11,48.05,54.69
522-2-r11,522,2,11,50.89,64.98
522-3-r11,522,3,11,40.12,39.06
522-4-r11,522,4,11,40.82,28.97
522-5-r11,522,5,11,44.98,61.84
522-6-r3,522,6,3,53.36,46.22
522-7-r3,522,7,3,54.25,68.33
522-8-r3,522,8,3,40.76,35.79
522-9-r3,522,9,3,53.54,57.81
522-10-r3,522,10,3,46.7,84.95
522-11-r36,522,11,36,41.6,48.18
522-12-r36,522,12,36,43.8,34.09
522-13-r36,522,13,36,52.22,79.64
522-14-r36,522,14,36,42.92,52.31
522-15-r36,522,15,36,51,65.43
522-16-r9,522,16,9,34.91,23.92
522-17-r9,522,17,9,53.61,29.43
522-18-r9,522,18,9,47.63,29.19
522-19-r9,522,19,9,52.1,30.08
522-20-r9,522,20,9,42.22,24.1
702-1-r31,702,1,31,40.19,73.81
702-2-r31,702,2,31,36.69,20.7
702-3-r31,702,3,31,46.05,37.55
702-4-r31,702,4,31,41.87,32.6
702-5-r31,702,5,31,32.73,55.34
702-6-r37,702,6,37,36.58,23.17
702-7-r37,702,7,37,23.87,38.22
702-8-r37,702,8,37,30.67,34.13
702-9-r37,702,9,37,25.4,31.9
702-10-r37,702,10,37,35.95,29.38
702-11-r35,702,11,35,36.28,43.22
702-12-r35,702,12,35,33.6,40.47
702-13-r35,702,13,35,34.53,49.53
702-14-r35,702,14,35,26.76,39.86
702-15-r35,702,15,35,35.38,40.62
702-16-r13,702,16,13,31.73,47.67
702-17-r13,702,17,13,35.67,35.84
702-18-r13,702,18,13,43.04,61.82
702-19-r13,702,19,13,37.24,37.88
702-20-r13,702,20,13,48.49,52.56
717-1-r24,717,1,24,31.03,44.45
717-2-r24,717,2,24,39.2,49.68
717-3-r24,717,3,24,45.06,37.23
717-4-r24,717,4,24,42.86,27.43
717-5-r24,717,5,24,38.81,37.11
717-6-r33,717,6,33,263.83,103.72
717-7-r33,717,7,33,49.47,57.93
717-8-r33,717,8,33,44.42,96.54
717-9-r33,717,9,33,26.61,26.91
717-10-r33,717,10,33,50.36,39.84
717-11-r21,717,11,21,57.28,68.78
717-12-r21,717,12,21,53.56,91.29
717-13-r21,717,13,21,33.54,30.57
717-14-r21,717,14,21,43.63,57.02
717-15-r21,717,15,21,59.98,74.44
717-16-r30,717,16,30,42.67,37.16
717-17-r30,717,17,30,35.76,28.01
717-18-r30,717,18,30,51.82,59.68
717-19-r30,717,19,30,45.43,49.68
717-20-r30,717,20,30,43.48,30.76
733-1-r5,733,1,5,40.95,44.83
733-2-r5,733,2,5,64.3,84.31
733-3-r5,733,3,5,46.63,52.29
733-4-r5,733,4,5,39.99,32.54
733-5-r5,733,5,5,54.59,79.88
733-6-r1,733,6,1,54,69.44
733-7-r1,733,7,1,55.57,48.92
733-8-r1,733,8,1,54.57,73.2
733-9-r1,733,9,1,64.37,91.15
733-10-r1,733,10,1,67.84,101.98
733-11-r25,733,11,25,32.07,28.91
733-12-r25,733,12,25,28.87,15.39
733-13-r25,733,13,25,40.6,51.93
733-14-r25,733,14,25,43.88,30.33
733-15-r25,733,15,25,32.76,26.72
733-16-r27,733,16,27,38.74,42.47
733-17-r27,733,17,27,95.31,74.58
733-18-r27,733,18,27,29.52,38.77
733-19-r27,733,19,27,39.91,56.13
733-20-r27,733,20,27,27.91,35.96
522co141-1-r20,522co141,1,20,163.19,46.66
522co141-2-r20,522co141,2,20,197.64,82.48
522co141-3-r20,522co141,3,20,390.11,131.03
522co141-4-r20,522co141,4,20,183.96,67.22
522co141-5-r20,522co141,5,20,163.27,55.8
522co141-6-r18,522co141,6,18,330.58,119.85
522co141-7-r18,522co141,7,18,286.23,68.9
522co141-8-r18,522co141,8,18,354.18,164.63
522co141-9-r18,522co141,9,18,226.13,57.27
522co141-10-r18,522co141,10,18,265.74,83.98
522co141-11-r39,522co141,11,39,120.93,55.74
522co141-12-r39,522co141,12,39,203.83,66.94
522co141-13-r39,522co141,13,39,121.97,48.96
522co141-14-r39,522co141,14,39,160.63,60.08
522co141-15-r39,522co141,15,39,104.96,42.61
522co141-16-r22,522co141,16,22,241.27,128.67
522co141-17-r22,522co141,17,22,193.47,93.38
522co141-18-r22,522co141,18,22,239.91,113.3
522co141-19-r22,522co141,19,22,198.98,150.29
522co141-20-r22,522co141,20,22,354.44,153.1
702co141-1-r10,702co141,1,10,117.28,47.16
702co141-2-r10,702co141,2,10,118.74,48.26
702co141-3-r10,702co141,3,10,150.86,51.64
702co141-4-r10,702co141,4,10,197.93,74.87
702co141-5-r10,702co141,5,10,213.47,67.93
702co141-6-r14,702co141,6,14,269.33,111.75
702co141-7-r14,702co141,7,14,209.88,72.12
702co141-8-r14,702co141,8,14,207.56,84.27
702co141-9-r14,702co141,9,14,414.8,184.55
702co141-10-r14,702co141,10,14,154.64,80.79
702co141-11-r32,702co141,11,32,262.84,145.01
702co141-12-r32,702co141,12,32,220.52,109.32
702co141-13-r32,702co141,13,32,264.13,138.67
702co141-14-r32,702co141,14,32,235.91,118.92
702co141-15-r32,702co141,15,32,357.16,176.36
702co141-16-r2,702co141,16,2,255.29,131.33
702co141-17-r2,702co141,17,2,406.57,188.09
702co141-18-r2,702co141,18,2,294.09,117.47
702co141-19-r2,702co141,19,2,251.27,98.01
702co141-20-r2,702co141,20,2,369.98,186.73
717co141-1-r29,717co141,1,29,194.08,90.55
717co141-2-r29,717co141,2,29,192.33,78.24
717co141-3-r29,717co141,3,29,204.37,87.69
717co141-4-r29,717co141,4,29,253.82,70.14
717co141-5-r29,717co141,5,29,179.53,85.41
717co141-6-r8,717co141,6,8,NA,NA
717co141-7-r8,717co141,7,8,98.48,42.35
717co141-8-r8,717co141,8,8,182.56,70.31
717co141-9-r8,717co141,9,8,104.8,35.08
717co141-10-r8,717co141,10,8,72.23,63.72
717co141-11-r28,717co141,11,28,185.6,91.01
717co141-12-r28,717co141,12,28,336.84,194.69
717co141-13-r28,717co141,13,28,71.08,32.79
717co141-14-r28,717co141,14,28,339.9,124.52
717co141-15-r28,717co141,15,28,94.5,41.42
717co141-16-r26,717co141,16,26,161.85,67.95
717co141-17-r26,717co141,17,26,204.48,91.96
717co141-18-r26,717co141,18,26,108.19,35.36
717co141-19-r26,717co141,19,26,139.36,72.1
717co141-20-r26,717co141,20,26,70.58,44.66
733co141-1-r7,733co141,1,7,119.9,73.02
733co141-2-r7,733co141,2,7,210.67,81.06
733co141-3-r7,733co141,3,7,166.25,72.28
733co141-4-r7,733co141,4,7,114.1,52.73
733co141-5-r7,733co141,5,7,134.59,57.2
733co141-6-r17,733co141,6,17,204.47,68.92
733co141-7-r17,733co141,7,17,149.43,57.19
733co141-8-r17,733co141,8,17,76.88,29.33
733co141-9-r17,733co141,9,17,165.46,74.82
733co141-10-r17,733co141,10,17,324.09,176.7
733co141-11-r38,733co141,11,38,230.92,77.05
733co141-12-r38,733co141,12,38,122.82,53.23
733co141-13-r38,733co141,13,38,110.94,46.71
733co141-14-r38,733co141,14,38,205.07,72.77
733co141-15-r38,733co141,15,38,211.07,96.92
733co141-16-r40,733co141,16,40,240.07,108.36
733co141-17-r40,733co141,17,40,251.03,117.83
733co141-18-r40,733co141,18,40,127.86,50.74
733co141-19-r40,733co141,19,40,121.03,55.64
733co141-20-r40,733co141,20,40,238.77,102.17
InCtrl-1-r15,InCtrl,1,15,40.59,41.93
InCtrl-2-r15,InCtrl,2,15,47.97,70.87
InCtrl-3-r15,InCtrl,3,15,29.79,46.09
InCtrl-4-r15,InCtrl,4,15,44.95,33.46
InCtrl-5-r15,InCtrl,5,15,54.62,46.69
InCtrl-6-r23,InCtrl,6,23,55.01,49.19
InCtrl-7-r23,InCtrl,7,23,49.91,49.67
InCtrl-8-r23,InCtrl,8,23,46.24,48.44
InCtrl-9-r23,InCtrl,9,23,51.13,62.18
InCtrl-10-r23,InCtrl,10,23,55.1,58.67
InCtrl-11-r34,InCtrl,11,34,29.86,31.15
InCtrl-12-r34,InCtrl,12,34,45.79,55.82
InCtrl-13-r34,InCtrl,13,34,41.09,53.59
InCtrl-14-r34,InCtrl,14,34,35.12,52.32
InCtrl-15-r34,InCtrl,15,34,43.73,50.24
InCtrl-16-r6,InCtrl,16,6,37.3,52.51
InCtrl-17-r6,InCtrl,17,6,42,30.45
InCtrl-18-r6,InCtrl,18,6,52.26,51.62
InCtrl-19-r6,InCtrl,19,6,51.5,59.12
InCtrl-20-r6,InCtrl,20,6,45.27,66.32
ExCtrl-1-r41,ExCtrl,1,41,60.08,52.55
ExCtrl-2-r41,ExCtrl,2,41,51.7,67.25
ExCtrl-3-r41,ExCtrl,3,41,42.58,44.43
ExCtrl-4-r41,ExCtrl,4,41,34.1,43.61
ExCtrl-5-r41,ExCtrl,5,41,57.68,45.98
ExCtrl-6-r42,ExCtrl,6,42,40.4,19.55
ExCtrl-7-r42,ExCtrl,7,42,29.62,37.22
ExCtrl-8-r42,ExCtrl,8,42,42.22,64.46
ExCtrl-9-r42,ExCtrl,9,42,23.75,27.79
ExCtrl-10-r42,ExCtrl,10,42,46.56,54.85