"","X.2","X.1","X","trait","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","significance"
"264",264,264,264,"root_mass","717A - ExCtrl",4.151344437,21.25280387,30.8705417,-73.85008146,82.15277033,0.195331612,0.953403994,"ns"
"265",265,265,265,"root_mass","717A - InCtrl",0.752048073,17.42941939,31.39358151,-63.10513727,64.60923341,0.0431482,0.965856673,"ns"
"266",266,266,266,"root_mass","(717A + 141) - 733B",21.37142152,17.42941939,31.39358151,-42.48576382,85.22860686,1.226169446,0.350247878,"ns"
"267",267,267,267,"root_mass","(717A + 141) - (733B + 141)",-2.317503564,17.37201777,31.00100285,-66.04761143,61.4126043,-0.133404398,0.953403994,"ns"
"268",268,268,268,"root_mass","(717A + 141) - ExCtrl",28.14699644,21.25280387,30.8705417,-49.85442946,106.1484223,1.324389789,0.315595915,"ns"
"269",269,269,269,"root_mass","(717A + 141) - InCtrl",24.74770007,17.42941939,31.39358151,-39.10948527,88.60488541,1.419880922,0.303411667,"ns"
"270",270,270,270,"root_mass","733B - (733B + 141)",-23.68892508,17.37201777,31.00100285,-87.41903295,40.04118278,-1.363625423,0.304177167,"ns"
"271",271,271,271,"root_mass","733B - ExCtrl",6.775574918,21.25280387,30.8705417,-71.22585098,84.77700081,0.318808519,0.953403994,"ns"
"272",272,272,272,"root_mass","733B - InCtrl",3.376278554,17.42941939,31.39358151,-60.48090679,67.23346389,0.193711476,0.953403994,"ns"
"273",273,273,273,"root_mass","(733B + 141) - ExCtrl",30.4645,21.20575426,30.61022164,-47.4338139,108.3628139,1.436614781,0.303411667,"ns"
"274",274,274,274,"root_mass","(733B + 141) - InCtrl",27.06520364,17.37201777,31.00100285,-36.66490423,90.7953115,1.557976972,0.273709789,"ns"
"275",275,275,275,"root_mass","ExCtrl - InCtrl",-3.399296364,21.25280387,30.8705417,-81.40072226,74.60212953,-0.159945783,0.953403994,"ns"
"276",276,276,276,"ratio","141 - 522",1.279404477,0.190343577,30.98921921,0.581091873,1.977717081,6.721553194,3.84e-07,"****"
"277",277,277,277,"ratio","141 - (522 + 141)",-0.273963012,0.190343577,30.98921921,-0.972275616,0.424349591,-1.439307892,0.258966999,"ns"
"278",278,278,278,"ratio","141 - 702A",1.453215383,0.190343577,30.98921921,0.754902779,2.151527987,7.6346962,9.92e-08,"****"
"279",279,279,279,"ratio","141 - (702A + 141)",0.063990669,0.190343577,30.98921921,-0.634321935,0.762303273,0.336185072,0.929703881,"ns"
"280",280,280,280,"ratio","141 - 717A",1.413422111,0.191366898,31.60993221,0.712794667,2.114049554,7.385927912,1.04e-07,"****"
"281",281,281,281,"ratio","141 - (717A + 141)",0.083754539,0.191366898,31.60993221,-0.616872904,0.784381983,0.437664718,0.929703881,"ns"
"282",282,282,282,"ratio","141 - 733B",1.440439014,0.191366898,31.60993221,0.73981157,2.141066457,7.527106472,9.92e-08,"****"
"283",283,283,283,"ratio","141 - (733B + 141)",0.020977441,0.190343577,30.98921921,-0.677335163,0.719290044,0.110208293,0.964450717,"ns"
"284",284,284,284,"ratio","141 - ExCtrl",1.376099244,0.232703051,30.78322965,0.521784759,2.230413729,5.913541916,3.28e-06,"****"
"285",285,285,285,"ratio","141 - InCtrl",1.453815661,0.191366898,31.60993221,0.753188217,2.154443104,7.597006999,9.92e-08,"****"
"286",286,286,286,"ratio","522 - (522 + 141)",-1.55336749,0.189314725,30.37264258,-2.249382945,-0.857352034,-8.205212203,3.7e-08,"****"
"287",287,287,287,"ratio","522 - 702A",0.173810906,0.189314725,30.37264258,-0.522204549,0.869826361,0.918105584,0.560063927,"ns"
"288",288,288,288,"ratio","522 - (702A + 141)",-1.215413808,0.189314725,30.37264258,-1.911429263,-0.519398353,-6.420070122,9.02e-07,"****"
"289",289,289,289,"ratio","522 - 717A",0.134017633,0.190343577,30.98921921,-0.56429497,0.832330237,0.704082773,0.704345549,"ns"
"290",290,290,290,"ratio","522 - (717A + 141)",-1.195649938,0.190343577,30.98921921,-1.893962542,-0.497337334,-6.281535514,1.17e-06,"****"
"291",291,291,291,"ratio","522 - 733B",0.161034537,0.190343577,30.98921921,-0.537278067,0.85934714,0.846020335,0.600580745,"ns"
"292",292,292,292,"ratio","522 - (733B + 141)",-1.258427036,0.189314725,30.37264258,-1.954442492,-0.562411581,-6.647274997,5e-07,"****"
"293",293,293,293,"ratio","522 - ExCtrl",0.096694767,0.231862238,30.37264258,-0.755746593,0.949136126,0.417035423,0.929703881,"ns"
"294",294,294,294,"ratio","522 - InCtrl",0.174411183,0.190343577,30.98921921,-0.52390142,0.872723787,0.916296659,0.560063927,"ns"
"295",295,295,295,"ratio","(522 + 141) - 702A",1.727178396,0.189314725,30.37264258,1.03116294,2.423193851,9.123317786,6.74e-09,"****"
"296",296,296,296,"ratio","(522 + 141) - (702A + 141)",0.337953682,0.189314725,30.37264258,-0.358061774,1.033969137,1.785142081,0.144769142,"ns"
"297",297,297,297,"ratio","(522 + 141) - 717A",1.687385123,0.190343577,30.98921921,0.989072519,2.385697727,8.86494386,7.23e-09,"****"
"298",298,298,298,"ratio","(522 + 141) - (717A + 141)",0.357717552,0.190343577,30.98921921,-0.340595052,1.056030155,1.879325573,0.123542017,"ns"
"299",299,299,299,"ratio","(522 + 141) - 733B",1.714402026,0.190343577,30.98921921,1.016089422,2.41271463,9.006881421,6.74e-09,"****"
"300",300,300,300,"ratio","(522 + 141) - (733B + 141)",0.294940453,0.189314725,30.37264258,-0.401075002,0.990955909,1.557937205,0.216013788,"ns"
"301",301,301,301,"ratio","(522 + 141) - ExCtrl",1.650062256,0.231862238,30.37264258,0.797620897,2.502503616,7.116563132,1.58e-07,"****"
"302",302,302,302,"ratio","(522 + 141) - InCtrl",1.727778673,0.190343577,30.98921921,1.029466069,2.426091277,9.077157745,6.74e-09,"****"
"303",303,303,303,"ratio","702A - (702A + 141)",-1.389224714,0.189314725,30.37264258,-2.085240169,-0.693209259,-7.338175706,1.22e-07,"****"
"304",304,304,304,"ratio","702A - 717A",-0.039793272,0.190343577,30.98921921,-0.738105876,0.658519331,-0.209060232,0.957652456,"ns"
"305",305,305,305,"ratio","702A - (717A + 141)",-1.369460844,0.190343577,30.98921921,-2.067773448,-0.67114824,-7.194678519,1.33e-07,"****"
"306",306,306,306,"ratio","702A - 733B",-0.012776369,0.190343577,30.98921921,-0.711088973,0.685536234,-0.067122671,0.964450717,"ns"
"307",307,307,307,"ratio","702A - (733B + 141)",-1.432237942,0.189314725,30.37264258,-2.128253398,-0.736222487,-7.565380581,9.92e-08,"****"
"308",308,308,308,"ratio","702A - ExCtrl",-0.077116139,0.231862238,30.37264258,-0.929557499,0.77532522,-0.332594647,0.929703881,"ns"
"309",309,309,309,"ratio","702A - InCtrl",0.000600278,0.190343577,30.98921921,-0.697712326,0.698912881,0.003153653,0.997503967,"ns"
"310",310,310,310,"ratio","(702A + 141) - 717A",1.349431441,0.190343577,30.98921921,0.651118838,2.047744045,7.089450895,1.58e-07,"****"
"311",311,311,311,"ratio","(702A + 141) - (717A + 141)",0.01976387,0.190343577,30.98921921,-0.678548734,0.718076474,0.103832608,0.964450717,"ns"
"312",312,312,312,"ratio","(702A + 141) - 733B",1.376448345,0.190343577,30.98921921,0.678135741,2.074760948,7.231388456,1.33e-07,"****"
"313",313,313,313,"ratio","(702A + 141) - (733B + 141)",-0.043013228,0.189314725,30.37264258,-0.739028684,0.653002227,-0.227204875,0.957652456,"ns"
"314",314,314,314,"ratio","(702A + 141) - ExCtrl",1.312108575,0.231862238,30.37264258,0.459667215,2.164549934,5.659000727,6.6e-06,"****"
"315",315,315,315,"ratio","(702A + 141) - InCtrl",1.389824991,0.190343577,30.98921921,0.691512388,2.088137595,7.301664781,1.22e-07,"****"
"316",316,316,316,"ratio","717A - (717A + 141)",-1.329667571,0.191366898,31.60993221,-2.030295015,-0.629040128,-6.948263194,1.92e-07,"****"
"317",317,317,317,"ratio","717A - 733B",0.027016903,0.191366898,31.60993221,-0.67361054,0.727644347,0.14117856,0.964450717,"ns"
"318",318,318,318,"ratio","717A - (733B + 141)",-1.39244467,0.190343577,30.98921921,-2.090757274,-0.694132066,-7.315427674,1.22e-07,"****"
"319",319,319,319,"ratio","717A - ExCtrl",-0.037322867,0.232703051,30.78322965,-0.891637352,0.816991618,-0.160388387,0.964450717,"ns"
"320",320,320,320,"ratio","717A - InCtrl",0.04039355,0.191366898,31.60993221,-0.660233893,0.741020993,0.211079087,0.957652456,"ns"
"321",321,321,321,"ratio","(717A + 141) - 733B",1.356684475,0.191366898,31.60993221,0.656057031,2.057311918,7.089441755,1.5e-07,"****"
"322",322,322,322,"ratio","(717A + 141) - (733B + 141)",-0.062777099,0.190343577,30.98921921,-0.761089702,0.635535505,-0.329809388,0.929703881,"ns"
"323",323,323,323,"ratio","(717A + 141) - ExCtrl",1.292344705,0.232703051,30.78322965,0.43803022,2.14665919,5.55362167,8.23e-06,"****"
"324",324,324,324,"ratio","(717A + 141) - InCtrl",1.370061121,0.191366898,31.60993221,0.669433678,2.070688565,7.159342281,1.33e-07,"****"
"325",325,325,325,"ratio","733B - (733B + 141)",-1.419461573,0.190343577,30.98921921,-2.117774177,-0.721148969,-7.457365236,1.04e-07,"****"
"326",326,326,326,"ratio","733B - ExCtrl",-0.06433977,0.232703051,30.78322965,-0.918654255,0.789974715,-0.276488726,0.957652456,"ns"
"327",327,327,327,"ratio","733B - InCtrl",0.013376647,0.191366898,31.60993221,-0.687250797,0.71400409,0.069900526,0.964450717,"ns"
"328",328,328,328,"ratio","(733B + 141) - ExCtrl",1.355121803,0.231862238,30.37264258,0.502680444,2.207563162,5.844512731,4.05e-06,"****"
"329",329,329,329,"ratio","(733B + 141) - InCtrl",1.43283822,0.190343577,30.98921921,0.734525616,2.131150824,7.52764156,9.92e-08,"****"
"330",330,330,330,"ratio","ExCtrl - InCtrl",0.077716417,0.232703051,30.78322965,-0.776598068,0.932030902,0.333972488,0.929703881,"ns"
"331",331,331,331,"total_nod","141 - 522",40.38427817,3.702747125,30.99293578,26.80019722,53.96835911,10.90657201,4.28e-11,"****"
"332",332,332,332,"total_nod","141 - (522 + 141)",7.384278165,3.702747125,30.99293578,-6.199802778,20.96835911,1.994270177,0.091638702,"ns"
"333",333,333,333,"total_nod","141 - 702A",40.38427817,3.702747125,30.99293578,26.80019722,53.96835911,10.90657201,4.28e-11,"****"
"334",334,334,334,"total_nod","141 - (702A + 141)",6.734278165,3.702747125,30.99293578,-6.849802778,20.31835911,1.818724838,0.127193523,"ns"
"335",335,335,335,"total_nod","141 - 717A",40.38427817,3.720802255,31.55989606,26.75956333,54.008993,10.85364806,4.28e-11,"****"
"336",336,336,336,"total_nod","141 - (717A + 141)",9.047002486,3.720802255,31.55989606,-4.577712352,22.67171732,2.431465546,0.035923209,"*"
"337",337,337,337,"total_nod","141 - 733B",40.38427817,3.720802255,31.55989606,26.75956333,54.008993,10.85364806,4.28e-11,"****"
"338",338,338,338,"total_nod","141 - (733B + 141)",10.13427817,3.702747125,30.99293578,-3.449802778,23.71835911,2.736961997,0.018052755,"*"
"339",339,339,339,"total_nod","141 - ExCtrl",40.38427817,4.527525575,30.80472887,23.76375555,57.00480078,8.919723919,1.69e-09,"****"
"340",340,340,340,"total_nod","141 - InCtrl",40.38427817,3.720802255,31.55989606,26.75956333,54.008993,10.85364806,4.28e-11,"****"
"341",341,341,341,"total_nod","522 - (522 + 141)",-33,3.684603523,30.42949969,-46.54373753,-19.45626247,-8.956187495,1.69e-09,"****"
"342",342,342,342,"total_nod","522 - 702A",-7.11e-15,3.684603523,30.42949969,-13.54373753,13.54373753,-1.93e-15,1,"ns"
"343",343,343,343,"total_nod","522 - (702A + 141)",-33.65,3.684603523,30.42949969,-47.19373753,-20.10626247,-9.132597249,1.69e-09,"****"
"344",344,344,344,"total_nod","522 - 717A",0,3.702747125,30.99293578,-13.58408094,13.58408094,0,1,"ns"
"345",345,345,345,"total_nod","522 - (717A + 141)",-31.33727568,3.702747125,30.99293578,-44.92135662,-17.75319474,-8.46325029,3.85e-09,"****"
"346",346,346,346,"total_nod","522 - 733B",0,3.702747125,30.99293578,-13.58408094,13.58408094,0,1,"ns"
"347",347,347,347,"total_nod","522 - (733B + 141)",-30.25,3.684603523,30.42949969,-43.79373753,-16.70626247,-8.209838538,6.93e-09,"****"
"348",348,348,348,"total_nod","522 - ExCtrl",7.11e-15,4.512699268,30.42949969,-16.58762307,16.58762307,1.57e-15,1,"ns"
"349",349,349,349,"total_nod","522 - InCtrl",-7.11e-15,3.702747125,30.99293578,-13.58408094,13.58408094,-1.92e-15,1,"ns"
"350",350,350,350,"total_nod","(522 + 141) - 702A",33,3.684603523,30.42949969,19.45626247,46.54373753,8.956187495,1.69e-09,"****"
"351",351,351,351,"total_nod","(522 + 141) - (702A + 141)",-0.65,3.684603523,30.42949969,-14.19373753,12.89373753,-0.176409754,1,"ns"
"352",352,352,352,"total_nod","(522 + 141) - 717A",33,3.702747125,30.99293578,19.41591906,46.58408094,8.912301836,1.69e-09,"****"
"353",353,353,353,"total_nod","(522 + 141) - (717A + 141)",1.662724321,3.702747125,30.99293578,-11.92135662,15.24680526,0.449051546,0.950224669,"ns"
"354",354,354,354,"total_nod","(522 + 141) - 733B",33,3.702747125,30.99293578,19.41591906,46.58408094,8.912301836,1.69e-09,"****"
"355",355,355,355,"total_nod","(522 + 141) - (733B + 141)",2.75,3.684603523,30.42949969,-10.79373753,16.29373753,0.746348958,0.704587085,"ns"
"356",356,356,356,"total_nod","(522 + 141) - ExCtrl",33,4.512699268,30.42949969,16.41237693,49.58762307,7.312696468,6.89e-08,"****"
"357",357,357,357,"total_nod","(522 + 141) - InCtrl",33,3.702747125,30.99293578,19.41591906,46.58408094,8.912301836,1.69e-09,"****"
"358",358,358,358,"total_nod","702A - (702A + 141)",-33.65,3.684603523,30.42949969,-47.19373753,-20.10626247,-9.132597249,1.69e-09,"****"
"359",359,359,359,"total_nod","702A - 717A",7.11e-15,3.702747125,30.99293578,-13.58408094,13.58408094,1.92e-15,1,"ns"
"360",360,360,360,"total_nod","702A - (717A + 141)",-31.33727568,3.702747125,30.99293578,-44.92135662,-17.75319474,-8.46325029,3.85e-09,"****"
"361",361,361,361,"total_nod","702A - 733B",7.11e-15,3.702747125,30.99293578,-13.58408094,13.58408094,1.92e-15,1,"ns"
"362",362,362,362,"total_nod","702A - (733B + 141)",-30.25,3.684603523,30.42949969,-43.79373753,-16.70626247,-8.209838538,6.93e-09,"****"
"363",363,363,363,"total_nod","702A - ExCtrl",1.42e-14,4.512699268,30.42949969,-16.58762307,16.58762307,3.15e-15,1,"ns"
"364",364,364,364,"total_nod","702A - InCtrl",0,3.702747125,30.99293578,-13.58408094,13.58408094,0,1,"ns"
"365",365,365,365,"total_nod","(702A + 141) - 717A",33.65,3.702747125,30.99293578,20.06591906,47.23408094,9.087847175,1.69e-09,"****"
"366",366,366,366,"total_nod","(702A + 141) - (717A + 141)",2.312724321,3.702747125,30.99293578,-11.27135662,15.89680526,0.624596885,0.797956425,"ns"
"367",367,367,367,"total_nod","(702A + 141) - 733B",33.65,3.702747125,30.99293578,20.06591906,47.23408094,9.087847175,1.69e-09,"****"
"368",368,368,368,"total_nod","(702A + 141) - (733B + 141)",3.4,3.684603523,30.42949969,-10.14373753,16.94373753,0.922758712,0.571044875,"ns"
"369",369,369,369,"total_nod","(702A + 141) - ExCtrl",33.65,4.512699268,30.42949969,17.06237693,50.23762307,7.456734429,4.85e-08,"****"
"370",370,370,370,"total_nod","(702A + 141) - InCtrl",33.65,3.702747125,30.99293578,20.06591906,47.23408094,9.087847175,1.69e-09,"****"
"371",371,371,371,"total_nod","717A - (717A + 141)",-31.33727568,3.720802255,31.55989606,-44.96199052,-17.71256084,-8.422182511,3.85e-09,"****"
"372",372,372,372,"total_nod","717A - 733B",0,3.720802255,31.55989606,-13.62471484,13.62471484,0,1,"ns"
"373",373,373,373,"total_nod","717A - (733B + 141)",-30.25,3.702747125,30.99293578,-43.83408094,-16.66591906,-8.169610016,6.93e-09,"****"
"374",374,374,374,"total_nod","717A - ExCtrl",7.11e-15,4.527525575,30.80472887,-16.62052262,16.62052262,1.57e-15,1,"ns"
"375",375,375,375,"total_nod","717A - InCtrl",-7.11e-15,3.720802255,31.55989606,-13.62471484,13.62471484,-1.91e-15,1,"ns"
"376",376,376,376,"total_nod","(717A + 141) - 733B",31.33727568,3.720802255,31.55989606,17.71256084,44.96199052,8.422182511,3.85e-09,"****"
"377",377,377,377,"total_nod","(717A + 141) - (733B + 141)",1.087275679,3.702747125,30.99293578,-12.49680526,14.67135662,0.293640274,1,"ns"
"378",378,378,378,"total_nod","(717A + 141) - ExCtrl",31.33727568,4.527525575,30.80472887,14.71675306,47.95779829,6.921501637,1.8e-07,"****"
"379",379,379,379,"total_nod","(717A + 141) - InCtrl",31.33727568,3.720802255,31.55989606,17.71256084,44.96199052,8.422182511,3.85e-09,"****"
"380",380,380,380,"total_nod","733B - (733B + 141)",-30.25,3.702747125,30.99293578,-43.83408094,-16.66591906,-8.169610016,6.93e-09,"****"
"381",381,381,381,"total_nod","733B - ExCtrl",7.11e-15,4.527525575,30.80472887,-16.62052262,16.62052262,1.57e-15,1,"ns"
"382",382,382,382,"total_nod","733B - InCtrl",-7.11e-15,3.720802255,31.55989606,-13.62471484,13.62471484,-1.91e-15,1,"ns"
"383",383,383,383,"total_nod","(733B + 141) - ExCtrl",30.25,4.512699268,30.42949969,13.66237693,46.83762307,6.703305096,3.4e-07,"****"
"384",384,384,384,"total_nod","(733B + 141) - InCtrl",30.25,3.702747125,30.99293578,16.66591906,43.83408094,8.169610016,6.93e-09,"****"
"385",385,385,385,"total_nod","ExCtrl - InCtrl",-1.42e-14,4.527525575,30.80472887,-16.62052262,16.62052262,-3.14e-15,1,"ns"
"386",386,386,386,"nod_mass","141 - (522 + 141)",0.000113729,0.000190931,15.06166141,-0.000513248,0.000740706,0.595654653,0.700313614,"ns"
"387",387,387,387,"nod_mass","141 - (702A + 141)",9.07e-05,0.000190931,15.06166141,-0.000536268,0.000717686,0.475087546,0.712822824,"ns"
"388",388,388,388,"nod_mass","141 - (717A + 141)",0.000300669,0.000193467,15.71179266,-0.000330284,0.000931623,1.554114617,0.350166883,"ns"
"389",389,389,389,"nod_mass","141 - (733B + 141)",0.000462889,0.000190931,15.06166141,-0.000164088,0.001089866,2.424377975,0.2811974,"ns"
"390",390,390,390,"nod_mass","(522 + 141) - (702A + 141)",-2.3e-05,0.000188361,14.41737649,-0.00064619,0.00060015,-0.122212027,0.904418293,"ns"
"391",391,391,391,"nod_mass","(522 + 141) - (717A + 141)",0.000186941,0.000190931,15.06166141,-0.000440037,0.000813918,0.979099841,0.571660812,"ns"
"392",392,392,392,"nod_mass","(522 + 141) - (733B + 141)",0.00034916,0.000188361,14.41737649,-0.00027401,0.00097233,1.853672952,0.2811974,"ns"
"393",393,393,393,"nod_mass","(702A + 141) - (717A + 141)",0.000209961,0.000190931,15.06166141,-0.000417017,0.000836938,1.099666947,0.571660812,"ns"
"394",394,394,394,"nod_mass","(702A + 141) - (733B + 141)",0.00037218,0.000188361,14.41737649,-0.00025099,0.00099535,1.975884979,0.2811974,"ns"
"395",395,395,395,"nod_mass","(717A + 141) - (733B + 141)",0.000162219,0.000190931,15.06166141,-0.000464758,0.000789197,0.849623482,0.584052795,"ns"
