sample,treatment,replicate,rack,empty_mass,full_mass,full_nod_mass,nods_in_tube,nod_mass,total_nod
141-1-r4,141,1,4,1.393018,1.409418,0.0164,10,0.00164,58
141-2-r4,141,2,4,1.447768,1.465102,0.017334,10,0.0017334,46
141-3-r4,141,3,4,1.571666,1.587976,0.01631,10,0.001631,46
141-4-r4,141,4,4,1.365458,1.380596,0.015138,10,0.0015138,57
141-5-r4,141,5,4,1.291768,1.304314,0.012546,10,0.0012546,37
141-6-r12,141,6,12,1.389999,1.414098,0.024099,10,0.0024099,27
141-7-r12,141,7,12,1.570308,1.575804,0.005496,10,0.0005496,20
141-8-r12,141,8,12,1.397534,1.436528,0.038994,10,0.0038994,36
141-9-r12,141,9,12,1.444692,1.456669,0.011977,10,0.0011977,42
141-10-r12,141,10,12,1.48119,1.501966,0.020776,10,0.0020776,37
141-11-r16,141,11,16,1.455612,1.472758,0.017146,10,0.0017146,41
141-12-r16,141,12,16,1.400246,1.419604,0.019358,10,0.0019358,44
141-13-r16,141,13,16,NA,NA,NA,NA,NA,NA
141-14-r16,141,14,16,1.516416,1.531932,0.015516,10,0.0015516,35
141-15-r16,141,15,16,1.46724,1.48605,0.01881,10,0.001881,37
141-16-r19,141,16,19,1.42007,1.434214,0.014144,10,0.0014144,55
141-17-r19,141,17,19,1.414996,1.440308,0.025312,10,0.0025312,30
141-18-r19,141,18,19,1.411944,1.430958,0.019014,10,0.0019014,35
141-19-r19,141,19,19,1.303682,1.317214,0.013532,10,0.0013532,42
141-20-r19,141,20,19,1.491648,1.504066,0.012418,10,0.0012418,43
522-1-r11,522,1,11,NA,NA,NA,NA,NA,0
522-2-r11,522,2,11,NA,NA,NA,NA,NA,0
522-3-r11,522,3,11,NA,NA,NA,NA,NA,0
522-4-r11,522,4,11,NA,NA,NA,NA,NA,0
522-5-r11,522,5,11,NA,NA,NA,NA,NA,0
522-6-r3,522,6,3,NA,NA,NA,NA,NA,0
522-7-r3,522,7,3,NA,NA,NA,NA,NA,0
522-8-r3,522,8,3,NA,NA,NA,NA,NA,0
522-9-r3,522,9,3,NA,NA,NA,NA,NA,0
522-10-r3,522,10,3,NA,NA,NA,NA,NA,0
522-11-r36,522,11,36,NA,NA,NA,NA,NA,0
522-12-r36,522,12,36,NA,NA,NA,NA,NA,0
522-13-r36,522,13,36,NA,NA,NA,NA,NA,0
522-14-r36,522,14,36,NA,NA,NA,NA,NA,0
522-15-r36,522,15,36,NA,NA,NA,NA,NA,0
522-16-r9,522,16,9,NA,NA,NA,NA,NA,0
522-17-r9,522,17,9,NA,NA,NA,NA,NA,0
522-18-r9,522,18,9,NA,NA,NA,NA,NA,0
522-19-r9,522,19,9,NA,NA,NA,NA,NA,0
522-20-r9,522,20,9,NA,NA,NA,NA,NA,0
702-1-r31,702,1,31,NA,NA,NA,NA,NA,0
702-2-r31,702,2,31,NA,NA,NA,NA,NA,0
702-3-r31,702,3,31,NA,NA,NA,NA,NA,0
702-4-r31,702,4,31,NA,NA,NA,NA,NA,0
702-5-r31,702,5,31,NA,NA,NA,NA,NA,0
702-6-r37,702,6,37,NA,NA,NA,NA,NA,0
702-7-r37,702,7,37,NA,NA,NA,NA,NA,0
702-8-r37,702,8,37,NA,NA,NA,NA,NA,0
702-9-r37,702,9,37,NA,NA,NA,NA,NA,0
702-10-r37,702,10,37,NA,NA,NA,NA,NA,0
702-11-r35,702,11,35,NA,NA,NA,NA,NA,0
702-12-r35,702,12,35,NA,NA,NA,NA,NA,0
702-13-r35,702,13,35,NA,NA,NA,NA,NA,0
702-14-r35,702,14,35,NA,NA,NA,NA,NA,0
702-15-r35,702,15,35,NA,NA,NA,NA,NA,0
702-16-r13,702,16,13,NA,NA,NA,NA,NA,0
702-17-r13,702,17,13,NA,NA,NA,NA,NA,0
702-18-r13,702,18,13,NA,NA,NA,NA,NA,0
702-19-r13,702,19,13,NA,NA,NA,NA,NA,0
702-20-r13,702,20,13,NA,NA,NA,NA,NA,0
717-1-r24,717,1,24,NA,NA,NA,NA,NA,0
717-2-r24,717,2,24,NA,NA,NA,NA,NA,0
717-3-r24,717,3,24,NA,NA,NA,NA,NA,0
717-4-r24,717,4,24,NA,NA,NA,NA,NA,0
717-5-r24,717,5,24,NA,NA,NA,NA,NA,0
717-6-r33,717,6,33,1.40642,1.41987,0.01345,10,0.001345,46
717-7-r33,717,7,33,NA,NA,NA,NA,NA,0
717-8-r33,717,8,33,NA,NA,NA,NA,NA,0
717-9-r33,717,9,33,NA,NA,NA,NA,NA,0
717-10-r33,717,10,33,NA,NA,NA,NA,NA,0
717-11-r21,717,11,21,NA,NA,NA,NA,NA,0
717-12-r21,717,12,21,NA,NA,NA,NA,NA,0
717-13-r21,717,13,21,NA,NA,NA,NA,NA,0
717-14-r21,717,14,21,NA,NA,NA,NA,NA,0
717-15-r21,717,15,21,NA,NA,NA,NA,NA,0
717-16-r30,717,16,30,NA,NA,NA,NA,NA,0
717-17-r30,717,17,30,NA,NA,NA,NA,NA,0
717-18-r30,717,18,30,NA,NA,NA,NA,NA,0
717-19-r30,717,19,30,NA,NA,NA,NA,NA,0
717-20-r30,717,20,30,NA,NA,NA,NA,NA,0
733-1-r5,733,1,5,NA,NA,NA,NA,NA,0
733-2-r5,733,2,5,NA,NA,NA,NA,NA,0
733-3-r5,733,3,5,NA,NA,NA,NA,NA,0
733-4-r5,733,4,5,NA,NA,NA,NA,NA,0
733-5-r5,733,5,5,NA,NA,NA,NA,NA,0
733-6-r1,733,6,1,NA,NA,NA,NA,NA,0
733-7-r1,733,7,1,NA,NA,NA,NA,NA,0
733-8-r1,733,8,1,NA,NA,NA,NA,NA,0
733-9-r1,733,9,1,NA,NA,NA,NA,NA,0
733-10-r1,733,10,1,NA,NA,NA,NA,NA,0
733-11-r25,733,11,25,NA,NA,NA,NA,NA,0
733-12-r25,733,12,25,NA,NA,NA,NA,NA,0
733-13-r25,733,13,25,NA,NA,NA,NA,NA,0
733-14-r25,733,14,25,NA,NA,NA,NA,NA,0
733-15-r25,733,15,25,NA,NA,NA,NA,NA,0
733-16-r27,733,16,27,NA,NA,NA,NA,NA,0
733-17-r27,733,17,27,1.496926,1.506888,0.009962,10,0.0009962,31
733-18-r27,733,18,27,NA,NA,NA,NA,NA,0
733-19-r27,733,19,27,NA,NA,NA,NA,NA,0
733-20-r27,733,20,27,NA,NA,NA,NA,NA,0
522co141-1-r20,522co141,1,20,1.331578,1.342134,0.010556,10,0.0010556,18
522co141-2-r20,522co141,2,20,1.315426,1.333214,0.017788,10,0.0017788,30
522co141-3-r20,522co141,3,20,1.395234,1.405352,0.010118,10,0.0010118,50
522co141-4-r20,522co141,4,20,1.547736,1.56415,0.016414,10,0.0016414,32
522co141-5-r20,522co141,5,20,1.334468,1.351802,0.017334,10,0.0017334,21
522co141-6-r18,522co141,6,18,1.322706,1.344232,0.021526,10,0.0021526,44
522co141-7-r18,522co141,7,18,1.417106,1.440744,0.023638,10,0.0023638,33
522co141-8-r18,522co141,8,18,1.407108,1.42353,0.016422,10,0.0016422,43
522co141-9-r18,522co141,9,18,1.328674,1.336572,0.007898,10,0.0007898,34
522co141-10-r18,522co141,10,18,1.53236,1.565156,0.032796,10,0.0032796,29
522co141-11-r39,522co141,11,39,1.292178,1.30163,0.009452,10,0.0009452,34
522co141-12-r39,522co141,12,39,1.365768,1.384654,0.018886,10,0.0018886,26
522co141-13-r39,522co141,13,39,1.56854,1.578506,0.009966,10,0.0009966,20
522co141-14-r39,522co141,14,39,1.496878,1.51211,0.015232,10,0.0015232,24
522co141-15-r39,522co141,15,39,1.286596,1.303596,0.017,10,0.0017,25
522co141-16-r22,522co141,16,22,1.354804,1.37217,0.017366,10,0.0017366,37
522co141-17-r22,522co141,17,22,1.358414,1.374532,0.016118,10,0.0016118,34
522co141-18-r22,522co141,18,22,1.459338,1.484852,0.025514,10,0.0025514,42
522co141-19-r22,522co141,19,22,1.466104,1.474464,0.00836,10,0.000836,46
522co141-20-r22,522co141,20,22,1.391616,1.408402,0.016786,10,0.0016786,38
702co141-1-r10,702co141,1,10,1.590328,1.607802,0.017474,10,0.0017474,35
702co141-2-r10,702co141,2,10,1.348584,1.366702,0.018118,10,0.0018118,25
702co141-3-r10,702co141,3,10,1.5166,1.5286,0.012,10,0.0012,28
702co141-4-r10,702co141,4,10,1.309914,1.329588,0.019674,10,0.0019674,22
702co141-5-r10,702co141,5,10,1.617432,1.637322,0.01989,10,0.001989,34
702co141-6-r14,702co141,6,14,1.35953,1.381626,0.022096,10,0.0022096,37
702co141-7-r14,702co141,7,14,1.414806,1.43355,0.018744,10,0.0018744,28
702co141-8-r14,702co141,8,14,1.414574,1.429762,0.015188,10,0.0015188,26
702co141-9-r14,702co141,9,14,1.432336,1.449954,0.017618,10,0.0017618,38
702co141-10-r14,702co141,10,14,1.399176,1.40741,0.008234,10,0.0008234,14
702co141-11-r32,702co141,11,32,1.386018,1.408658,0.02264,10,0.002264,25
702co141-12-r32,702co141,12,32,1.41696,1.430288,0.013328,10,0.0013328,34
702co141-13-r32,702co141,13,32,1.424108,1.439996,0.015888,10,0.0015888,37
702co141-14-r32,702co141,14,32,1.444456,1.449822,0.005366,10,0.0005366,20
702co141-15-r32,702co141,15,32,1.4046,1.429126,0.024526,10,0.0024526,50
702co141-16-r2,702co141,16,2,1.542944,1.55788,0.014936,10,0.0014936,41
702co141-17-r2,702co141,17,2,1.383382,1.402008,0.018626,10,0.0018626,55
702co141-18-r2,702co141,18,2,1.346832,1.360356,0.013524,10,0.0013524,38
702co141-19-r2,702co141,19,2,1.406304,1.41964,0.013336,10,0.0013336,44
702co141-20-r2,702co141,20,2,1.393394,1.415962,0.022568,10,0.0022568,42
717co141-1-r29,717co141,1,29,1.459714,1.478144,0.01843,10,0.001843,36
717co141-2-r29,717co141,2,29,1.27117,1.2883,0.01713,10,0.001713,32
717co141-3-r29,717co141,3,29,1.38677,1.40132,0.01455,10,0.001455,28
717co141-4-r29,717co141,4,29,1.450584,1.47102,0.020436,10,0.0020436,16
717co141-5-r29,717co141,5,29,1.359574,1.37063,0.011056,10,0.0011056,52
717co141-6-r8,717co141,6,8,NA,NA,NA,NA,NA,NA
717co141-7-r8,717co141,7,8,1.504846,1.52076,0.015914,10,0.0015914,24
717co141-8-r8,717co141,8,8,1.435476,1.447504,0.012028,10,0.0012028,33
717co141-9-r8,717co141,9,8,1.337672,1.352024,0.014352,10,0.0014352,18
717co141-10-r8,717co141,10,8,1.36672,1.377624,0.010904,10,0.0010904,53
717co141-11-r28,717co141,11,28,1.428044,1.435904,0.00786,10,0.000786,21
717co141-12-r28,717co141,12,28,1.422168,1.452736,0.030568,10,0.0030568,42
717co141-13-r28,717co141,13,28,1.294158,1.29992,0.005762,10,0.0005762,14
717co141-14-r28,717co141,14,28,1.364472,1.39151,0.027038,10,0.0027038,47
717co141-15-r28,717co141,15,28,1.494556,1.5066708,0.0121148,10,0.00121148,19
717co141-16-r26,717co141,16,26,1.526292,1.535476,0.009184,10,0.0009184,24
717co141-17-r26,717co141,17,26,1.504058,1.522324,0.018266,10,0.0018266,48
717co141-18-r26,717co141,18,26,1.417376,1.429264,0.011888,10,0.0011888,20
717co141-19-r26,717co141,19,26,1.348442,1.358316,0.009874,10,0.0009874,47
717co141-20-r26,717co141,20,26,1.305136,1.314974,0.009838,10,0.0009838,21
733co141-1-r7,733co141,1,7,1.590718,1.599648,0.00893,10,0.000893,42
733co141-2-r7,733co141,2,7,1.398704,1.414296,0.015592,10,0.0015592,46
733co141-3-r7,733co141,3,7,1.509508,1.522842,0.013334,10,0.0013334,62
733co141-4-r7,733co141,4,7,1.402128,1.413194,0.011066,10,0.0011066,37
733co141-5-r7,733co141,5,7,1.486106,1.49921,0.013104,10,0.0013104,48
733co141-6-r17,733co141,6,17,1.36235,1.374378,0.012028,10,0.0012028,27
733co141-7-r17,733co141,7,17,1.439218,1.451078,0.01186,10,0.001186,29
733co141-8-r17,733co141,8,17,1.356686,1.364402,0.007716,10,0.0007716,11
733co141-9-r17,733co141,9,17,1.429956,1.45231,0.022354,10,0.0022354,31
733co141-10-r17,733co141,10,17,1.439884,1.456578,0.016694,10,0.0016694,34
733co141-11-r38,733co141,11,38,1.433398,1.458718,0.02532,10,0.002532,32
733co141-12-r38,733co141,12,38,1.386056,1.393112,0.007056,10,0.0007056,14
733co141-13-r38,733co141,13,38,1.410304,1.417124,0.00682,10,0.000682,17
733co141-14-r38,733co141,14,38,1.476764,1.489976,0.013212,10,0.0013212,13
733co141-15-r38,733co141,15,38,1.589818,1.604498,0.01468,10,0.001468,21
733co141-16-r40,733co141,16,40,1.489404,1.499538,0.010134,10,0.0010134,35
733co141-17-r40,733co141,17,40,1.310948,1.329782,0.018834,10,0.0018834,35
733co141-18-r40,733co141,18,40,1.344296,1.356748,0.012452,10,0.0012452,24
733co141-19-r40,733co141,19,40,1.486212,1.489268,0.003056,10,0.0003056,24
733co141-20-r40,733co141,20,40,1.53964,1.554736,0.015096,10,0.0015096,23
InCtrl-1-r15,InCtrl,1,15,NA,NA,NA,NA,NA,0
InCtrl-2-r15,InCtrl,2,15,1.539886,1.541436,0.00155,2,0.000775,2
InCtrl-3-r15,InCtrl,3,15,NA,NA,NA,NA,NA,0
InCtrl-4-r15,InCtrl,4,15,NA,NA,NA,NA,NA,0
InCtrl-5-r15,InCtrl,5,15,NA,NA,NA,NA,NA,0
InCtrl-6-r23,InCtrl,6,23,NA,NA,NA,NA,NA,0
InCtrl-7-r23,InCtrl,7,23,NA,NA,NA,NA,NA,0
InCtrl-8-r23,InCtrl,8,23,NA,NA,NA,NA,NA,0
InCtrl-9-r23,InCtrl,9,23,NA,NA,NA,NA,NA,0
InCtrl-10-r23,InCtrl,10,23,NA,NA,NA,NA,NA,0
InCtrl-11-r34,InCtrl,11,34,NA,NA,NA,NA,NA,0
InCtrl-12-r34,InCtrl,12,34,NA,NA,NA,NA,NA,0
InCtrl-13-r34,InCtrl,13,34,NA,NA,NA,NA,NA,0
InCtrl-14-r34,InCtrl,14,34,NA,NA,NA,NA,NA,0
InCtrl-15-r34,InCtrl,15,34,NA,NA,NA,NA,NA,0
InCtrl-16-r6,InCtrl,16,6,NA,NA,NA,NA,NA,0
InCtrl-17-r6,InCtrl,17,6,NA,NA,NA,NA,NA,0
InCtrl-18-r6,InCtrl,18,6,NA,NA,NA,NA,NA,0
InCtrl-19-r6,InCtrl,19,6,NA,NA,NA,NA,NA,0
InCtrl-20-r6,InCtrl,20,6,NA,NA,NA,NA,NA,0
ExCtrl-1-r41,ExCtrl,1,41,NA,NA,NA,NA,NA,0
ExCtrl-2-r41,ExCtrl,2,41,NA,NA,NA,NA,NA,0
ExCtrl-3-r41,ExCtrl,3,41,NA,NA,NA,NA,NA,0
ExCtrl-4-r41,ExCtrl,4,41,NA,NA,NA,NA,NA,0
ExCtrl-5-r41,ExCtrl,5,41,NA,NA,NA,NA,NA,0
ExCtrl-6-r42,ExCtrl,6,42,NA,NA,NA,NA,NA,0
ExCtrl-7-r42,ExCtrl,7,42,NA,NA,NA,NA,NA,0
ExCtrl-8-r42,ExCtrl,8,42,NA,NA,NA,NA,NA,0
ExCtrl-9-r42,ExCtrl,9,42,NA,NA,NA,NA,NA,0
ExCtrl-10-r42,ExCtrl,10,42,NA,NA,NA,NA,NA,0
